ID,Title,Description,Brand/Type,Price (NOK),URL,Image
400464660,Svensk topp kvalitet,Svensk topp kvalitet,Comfortina Seilbåt/Motorseiler,650000,https://www.finn.no/mobility/item/400464660,https://images.finncdn.no/dynamic/default/e6/e6b959a1-f585-483a-b358-b087266448fc
358040180,Nauticat 33,Nauticat 33,Nauticat Seilbåt/Motorseiler,330000,https://www.finn.no/mobility/item/358040180,https://images.finncdn.no/dynamic/default/2024/6/vertical-0/20/0/358/040/180_99de5a8a-5d37-41bc-9ab7-11f0d00729cc.jpg
467903338,Jeanneau SO40 helt seileklar,Jeanneau SO40 helt seileklar,Jeanneau Seilbåt/Motorseiler,790000,https://www.finn.no/mobility/item/467903338,https://images.finncdn.no/dynamic/default/item/467903338/818316ee-3007-4f05-a8c3-238d2cd3590d
469778358,Cayenne 42 svensk krysser,Cayenne 42 svensk krysser,Cayenne Seilbåt/Motorseiler,240000,https://www.finn.no/mobility/item/469778358,https://images.finncdn.no/dynamic/default/item/469778358/7024d84d-64f1-4a35-adf7-a2fa2ed3ac84
469782556,Bavaria 38 Cruiser selges.,Bavaria 38 Cruiser selges.,Bavaria Seilbåt/Motorseiler,900000,https://www.finn.no/mobility/item/469782556,https://images.finncdn.no/dynamic/default/item/469782556/f3cd436d-38ff-4439-927d-6d63334821e9
465639184,Hallberg-Rassy 352 Tall Rig – seilklar og priset for raskt salg,Hallberg-Rassy 352 Tall Rig – seilklar og priset for raskt salg,Hallberg Rassy Seilbåt/Motorseiler,445000,https://www.finn.no/mobility/item/465639184,https://images.finncdn.no/dynamic/default/item/465639184/fd3502cb-d20b-4b47-9007-cffefecc78e4
355362047,Sparkman & Stephens 36.,Sparkman & Stephens 36.,Andre Seilbåt/Motorseiler,325000,https://www.finn.no/mobility/item/355362047,https://images.finncdn.no/dynamic/default/2024/6/vertical-0/01/7/355/362/047_6982270f-b294-43d7-adbd-de15bcd052ce.jpg
469765108,Albin Nova 33 til salgs - Langevåg (Vestland),Albin Nova 33 til salgs - Langevåg (Vestland),Albin Seilbåt/Motorseiler,145000,https://www.finn.no/mobility/item/469765108,https://images.finncdn.no/dynamic/default/item/469765108/ace6dbaf-1c61-4f1b-82b2-3b4c4837effe
459879495,Sweden Yachts C34 selges!,Sweden Yachts C34 selges!,Sweden Yachts Seilbåt/Motorseiler,295000,https://www.finn.no/mobility/item/459879495,https://images.finncdn.no/dynamic/default/item/459879495/6197bdc3-0577-4fba-98df-30cab8275013
469708744,Wiking 34 Classic,Wiking 34 Classic,Wiking Seilbåt/Motorseiler,150000,https://www.finn.no/mobility/item/469708744,https://images.finncdn.no/dynamic/default/item/469708744/3331f4c5-95b2-41ea-9376-c479ba7e5d4d
469704194,Velholdt og velutstyrt Beneteau 343 med nyere rulleseil selges,Velholdt og velutstyrt Beneteau 343 med nyere rulleseil selges,Beneteau Seilbåt/Motorseiler,590000,https://www.finn.no/mobility/item/469704194,https://images.finncdn.no/dynamic/default/item/469704194/012155c6-2b67-4a03-9279-a08e5d1e758f
151338920,Colvic Watson  35 fot,Colvic Watson  35 fot,Andre Seilbåt/Motorseiler,200000,https://www.finn.no/mobility/item/151338920,https://images.finncdn.no/dynamic/default/item/151338920/e584c3ee-7ee9-4c03-8cd5-84f05fcd1d36
467557187,Unik mulighet – Open 40,Unik mulighet – Open 40,Andre Seilbåt/Motorseiler,499000,https://www.finn.no/mobility/item/467557187,https://images.finncdn.no/dynamic/default/item/467557187/09a6cb12-cd41-4042-81c2-0a3d1a1d5192
469626383,"3-kabiners Jeanneau Sun Odyssey 34.2, Yanmar og strak aksel","3-kabiners Jeanneau Sun Odyssey 34.2, Yanmar og strak aksel",Jeanneau Seilbåt/Motorseiler,450000,https://www.finn.no/mobility/item/469626383,https://images.finncdn.no/dynamic/default/item/469626383/0bc864c1-5083-4b6c-b983-cc361a01e9a7
462395605,Beneteau Evasion 34 – nydelig hjem og turseiler i ett!,Beneteau Evasion 34 – nydelig hjem og turseiler i ett!,Beneteau Seilbåt/Motorseiler,660000,https://www.finn.no/mobility/item/462395605,https://images.finncdn.no/dynamic/default/item/462395605/0abf2407-9ec9-4f22-b059-bdbc9f28c064
153280275,"Ombygget fiskeskøyte, Gaffelrigg, Colin Archer lignende seilskøyte","Ombygget fiskeskøyte, Gaffelrigg, Colin Archer lignende seilskøyte",Skøyte Seilbåt/Motorseiler,430000,https://www.finn.no/mobility/item/153280275,https://images.finncdn.no/dynamic/default/2019/8/vertical-4/08/l/nul/l_1028015932.jpg
469615089,Malø 50 Ketch,Malø 50 Ketch,Malö Yachts Seilbåt/Motorseiler,195000,https://www.finn.no/mobility/item/469615089,https://images.finncdn.no/dynamic/default/item/469615089/a206e1e6-720a-4f10-bbe6-b3e5f4d36a53
466671619,Bavaria 32 AC – Påkostet og velholdt – Volvo Penta D1-30 (2019) – ca. 292 timer,Bavaria 32 AC – Påkostet og velholdt – Volvo Penta D1-30 (2019) – ca. 292 timer,Bavaria Seilbåt/Motorseiler,530000,https://www.finn.no/mobility/item/466671619,https://images.finncdn.no/dynamic/default/item/466671619/163bf8ec-dcf1-401f-8cf5-4e49cf850e4c
